Country,Pct_GDP,Annual_Rank,Start_Pct,Total_Change,Meets_Target,Commentary
Albania,1.7,26,1.330681866,0.369,False,"## Albania

Albania has demonstrated a meaningful commitment to strengthening its defence posture, increasing spending from 1.33% of GDP in 2014 to 1.70% in 2024—a notable 0.37 percentage point rise that reflects a sustained upward trajectory toward the Alliance's 2% benchmark. While Albania has not yet reached the target, this steady progression signals genuine political will to shoulder a greater share of the collective defence burden, particularly commendable for a smaller economy balancing competing domestic priorities. As a nation that has consistently contributed to NATO operations and missions beyond what its size might suggest, Albania's continued investment trend underscores its valued role within the Alliance and positions it well to close the remaining gap in the near term."
Belgium,1.286805534,32,0.96632723,0.32,False,"## Belgium

Belgium has demonstrated a meaningful upward trajectory in defence spending, increasing its investment by 0.32 percentage points since 2014—representing a roughly one-third increase from its 0.97% baseline. While this positive trend reflects a genuine commitment to strengthening its contribution to collective security, Belgium's current ranking of 32nd among Alliance members and a 1.29% GDP expenditure level underscore that significant ground remains to be covered in reaching the 2% target. As a founding member of NATO and host nation to both NATO Headquarters and key Alliance institutions, Belgium holds a uniquely symbolic position, and accelerating its defence investment trajectory would send a powerful signal of resolve to Allies and adversaries alike. Continued momentum toward the 2% benchmark will be essential to ensuring Belgium's contributions match the outsized role it plays at the heart of the Alliance."
Bulgaria,1.953847329,22,1.309083361,0.645,False,"## Bulgaria – Defence Expenditure Brief

Bulgaria has demonstrated a commendable upward trajectory in defence spending, increasing its commitment by 0.65 percentage points since 2014 to reach 1.95% of GDP in 2024—placing it on the cusp of the Alliance's 2% benchmark. This substantial growth from a baseline of just 1.31% reflects a sustained and meaningful investment in collective security, particularly notable for a nation managing competing fiscal priorities. While Bulgaria has not yet formally crossed the 2% threshold, the trend line strongly suggests that achievement is imminent, signalling a clear political will to meet Alliance obligations. Bulgaria's steady progress underscores its dedication to burden-sharing and its recognition that robust defence investment is essential to transatlantic peace and stability."
Canada,1.471471309,29,1.006365256,0.465,False,"## Canada

Canada has demonstrated a meaningful upward trajectory in defence spending, increasing its investment by 0.47 percentage points since 2014, reflecting a sustained commitment to strengthening its contribution to Alliance security. However, at 1.47% of GDP in 2024 and ranked 29th among 32 member nations, Canada remains notably below the 2% guideline, underscoring the need for accelerated progress from one of NATO's largest and most capable economies. As a founding member of the Alliance with significant strategic assets—including its Arctic geography and robust intelligence-sharing partnerships—Canada's full realization of the 2% target would substantially reinforce collective deterrence and signal renewed leadership within the transatlantic community. The Alliance looks forward to Canada's continued efforts to close this gap in the interest of shared peace and stability."
Croatia,1.867474031,24,1.80819936,0.059,False,"## Croatia

Croatia has demonstrated a steady, if modest, upward trajectory in defence spending, rising from 1.81% of GDP in 2014 to 1.87% in 2024, reflecting a sustained commitment to strengthening its contribution to Alliance security. While the 0.06 percentage point increase over the past decade indicates that progress toward the 2% target has been gradual, Croatia's continued investment signals an enduring recognition of the importance of collective defence, particularly given the evolving security environment on NATO's southeastern flank. Ranked 24th among 32 Allies, Croatia is well-positioned to close the remaining gap to the 2% benchmark, and accelerating this trajectory would further solidify its role as a valued contributor to transatlantic peace and stability."
Czechia,2.075680277,16,0.936770138,1.139,True,"## Czechia – Defence Expenditure Brief

Czechia's defence spending trajectory represents one of the most remarkable commitments to Alliance burden-sharing among NATO members, more than doubling its investment from 0.94% of GDP in 2014 to 2.08% in 2024—a striking 1.14 percentage point increase. By crossing the 2% threshold, Czechia has demonstrated that sustained political will can translate into meaningful defence capability growth, reinforcing the collective security architecture upon which transatlantic stability depends. Ranking 16th among 32 Allies, Czechia's achievement is particularly noteworthy for a Central European nation that has steadily modernized its armed forces in response to an evolving security environment. This investment trajectory sends a clear signal of resolve to both Allies and potential adversaries that Czechia takes its NATO commitments seriously."
Denmark,2.268266221,12,1.149802569,1.118,True,"## Denmark

Denmark's defence spending trajectory represents one of the most remarkable transformations within the Alliance, nearly doubling its commitment from 1.15% of GDP in 2014 to 2.27% in 2024—a substantial 1.12 percentage point increase that underscores a profound strategic recalibration. By surpassing the 2% guideline and securing the 12th position among 32 member nations, Denmark has firmly transitioned from a below-target contributor to a credible and committed defence partner. This upward trajectory reflects Copenhagen's clear recognition that robust defence investment is indispensable to collective deterrence and transatlantic stability, particularly in light of the evolving security environment in the Baltic and Arctic regions. Denmark's sustained effort sets a compelling example for Allies still working toward the 2% benchmark."
Estonia,3.365538348,2,1.898494092,1.467,True,"## Estonia – Defence Expenditure Brief

Estonia's remarkable trajectory from 1.90% of GDP in 2014 to 3.37% in 2024—a 1.47 percentage point increase—firmly establishes it as one of the Alliance's most committed members, ranking second among all 32 NATO countries. As a frontline state acutely aware of the evolving security environment on NATO's eastern flank, Estonia has translated its threat perception into concrete and sustained investment in collective defence. This level of spending, well exceeding the 2% guideline, demonstrates that Estonia not only meets but significantly surpasses Alliance expectations, serving as a powerful example of burden-sharing and reinforcing the credibility of NATO's deterrence posture in the Baltic region. Estonia's commitment sends an unambiguous signal to both Allies and adversaries alike that the defence of the rules-based international order remains a paramount national priority."
Finland,2.403650958,8,1.459058075,0.945,True,"## Finland

Finland's remarkable increase in defence spending from 1.46% of GDP in 2014 to 2.40% in 2024—a rise of nearly a full percentage point—underscores the profound seriousness with which Helsinki approaches its security obligations. As one of NATO's newest members, Finland has not only met but substantially exceeded the 2% guideline, ranking an impressive 8th among all 32 Allies and demonstrating that its accession was backed by genuine strategic commitment rather than mere aspiration. This trajectory reflects decades of robust national defence culture forged by Finland's unique geopolitical position, and its contributions meaningfully strengthen NATO's collective deterrence posture, particularly on the Alliance's northern and eastern flanks. Finland's example serves as a compelling model for newer and aspiring members seeking to translate Alliance membership into tangible security investment."
France,2.032427247,17,1.815176473,0.217,True,"## France

France has demonstrated a steady and meaningful commitment to Alliance burden-sharing, increasing its defence spending from 1.82% of GDP in 2014 to 2.03% in 2024, thereby meeting the critical 2% benchmark. This trajectory reflects a sustained political will to invest in national and collective defence, consistent with France's role as a leading European military power and nuclear-armed NATO member. As one of the Alliance's most operationally active contributors—with significant force projection capabilities and ongoing commitments across multiple theatres—France's achievement of the 2% target reinforces the credibility of NATO's deterrence posture and sends a strong signal of transatlantic solidarity. Continued investment growth will be important as France seeks to modernize its forces in an increasingly complex security environment."
Germany,2.003724285,18,1.162231588,0.841,True,"## Germany

Germany's achievement of the 2% GDP defence spending target in 2024 represents a landmark milestone for the Alliance, reflecting a remarkable 0.84 percentage point increase from its 1.16% baseline in 2014. As Europe's largest economy, Germany's commitment to meeting this threshold carries outsized strategic significance, sending a powerful signal of solidarity and resolve to both Allies and potential adversaries alike. While its 18th-place ranking among 32 members suggests room for further growth, the sustained upward trajectory — particularly accelerated by the establishment of the €100 billion special defence fund — demonstrates Berlin's recognition that credible deterrence and collective security demand sustained investment. Germany's renewed defence posture strengthens the Alliance's conventional capabilities at a critical juncture for Euro-Atlantic security."
Greece,2.740117844,6,2.236943799,0.503,True,"## Greece – Defence Expenditure Brief

Greece has demonstrated an unwavering commitment to collective security, consistently exceeding the NATO 2% GDP guideline throughout the past decade—a distinction shared by only a handful of Alliance members. With defence spending rising from 2.24% in 2014 to 2.74% in 2024, Greece has not only maintained but meaningfully strengthened its investment, reflecting a half-percentage-point increase that underscores the seriousness with which Athens approaches its defence obligations. Ranked sixth among all 32 NATO members, Greece's sustained contributions are particularly noteworthy given the fiscal challenges the country has navigated, signaling that Alliance solidarity and regional stability remain national priorities of the highest order. Greece's trajectory serves as a compelling example of enduring commitment to the collective defence framework that underpins Euro-Atlantic peace and security."
