Country,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024e
Albania,1.330681866,1.14864463,1.090626925,1.096085014,1.146882847,1.265739175,1.289147963,1.236001144,1.20237731,1.75,1.7
Belgium,0.96632723,0.911845185,0.898067341,0.886846945,0.892442756,0.88699684,1.005822694,1.042687518,1.16243721,1.18178773,1.286805534
Bulgaria,1.309083361,1.246351274,1.243596249,1.221937834,1.450952374,3.144799907,1.585822094,1.510380055,1.587078902,1.944403925,1.953847329
Canada,1.006365256,1.200724604,1.15891838,1.436996587,1.298263517,1.294475316,1.409079362,1.270351961,1.198141316,1.327219657,1.471471309
Croatia,1.80819936,1.748830519,1.589121373,1.63329763,1.542434772,1.60370654,1.696655962,1.971597657,1.80262149,1.670287254,1.867474031
Czechia,0.936770138,1.015594148,0.941897707,1.018359581,1.090114588,1.160554267,1.273719698,1.345746877,1.290615505,1.320845313,2.075680277
Denmark,1.149802569,1.114793425,1.151061987,1.139989183,1.28310485,1.299197935,1.373782618,1.291546723,1.361574238,2.000183792,2.268266221
Estonia,1.898494092,1.988478971,2.026480893,1.973270908,1.97256087,2.001031973,2.264143827,2.016303424,2.13743863,2.998590044,3.365538348
Finland,1.459058075,1.458125904,1.431742514,1.393282333,1.396192838,1.460266526,1.540577351,1.407979169,1.685157182,2.119757568,2.403650958
France,1.815176473,1.77959376,1.791256438,1.780362057,1.813712698,1.815453354,1.986004023,1.903833004,1.867632655,1.94418577,2.032427247
Germany,1.162231588,1.164425933,1.178305888,1.207244413,1.226072617,1.325497463,1.492791624,1.429699281,1.476118417,1.6149766,2.003724285
Greece,2.236943799,2.322669732,2.401869437,2.372439371,2.524910327,2.420838076,2.872205659,3.664724182,3.874744412,2.763596213,2.740117844
Hungary,0.857233094,0.904215891,0.999117253,1.191696835,1.00220412,1.327824879,1.746280526,1.315210033,1.833148034,2.049511493,2.129138634
Italy,1.132310942,1.058422287,1.170152023,1.19390937,1.220332891,1.166080013,1.579536902,1.522678926,1.498107305,1.470395502,1.497509515
Latvia,0.969921485,1.068632858,1.486506719,1.651554288,2.133252391,2.091230036,2.226394134,2.156119646,2.252180855,2.967720312,3.360018421
Lithuania,0.883811213,1.13488756,1.480169244,1.71220031,1.94689342,1.983566633,2.049452011,1.94937649,2.444381973,2.712640331,3.087800111
Luxembourg,0.367663142,0.414483275,0.379846626,0.494744174,0.501214228,0.547356275,0.578256425,0.471688416,0.563155852,1.056754852,1.189560392
Montenegro,1.504432324,1.40397735,1.423126679,1.340730402,1.368968475,1.333266007,1.731844243,1.554954591,1.377987846,1.518862723,1.716077691
Netherlands,1.123601249,1.103381164,1.125074587,1.118377971,1.185721203,1.285456299,1.365666283,1.319154555,1.38597409,1.602799219,2.003353528
North Macedonia,1.088401743,1.047100477,0.970117385,0.894992121,0.942989391,1.159116075,1.240588753,1.453709949,1.580597095,1.679972997,1.887932196
Norway,1.539005243,1.582297479,1.733689781,1.705163049,1.715286027,1.843732453,1.965994667,1.676316677,1.458062133,1.823688454,2.274756647
Poland,1.864472246,2.211085341,1.986723542,1.881390838,1.995933772,1.964549673,2.207215563,2.191406468,2.20795495,3.270387078,3.788951289
Portugal,1.306764053,1.328835106,1.268260343,1.239953722,1.341308239,1.373804447,1.426347963,1.521866694,1.39174987,1.332486452,1.581433015
Romania,1.347606162,1.450712302,1.427723436,1.733706794,1.790533501,1.830805868,2.00358629,1.847647249,1.750151873,1.598189092,2.171074155
Slovak Republic,0.981634127,1.106623186,1.111366669,1.100123602,1.216731131,1.702368498,1.903634438,1.71240922,1.80168434,1.838808959,1.960171699
Slovenia,0.983231509,0.938787518,1.015080585,0.990522619,1.017656305,1.061658529,1.065527299,1.239449488,1.295577962,1.316628122,1.371048503
Spain,0.915131542,0.919850945,0.802699456,0.89981573,0.921588813,0.899823723,0.995383515,1.015516312,1.136402915,1.164731393,1.429382384
Sweden,1.07216224,1.01761951,0.977691206,0.975282799,0.978001279,1.04377515,1.098100433,1.426863042,1.479289932,1.683017165,2.305686177
Türkiye,1.446641358,1.383363254,1.45448512,1.510128174,1.815914487,1.852501188,1.860127141,1.605284598,1.356958867,1.483632282,2.131924372
United Kingdom,2.142375696,2.031899571,2.088204876,2.077204963,2.100167851,2.081942199,2.352978817,2.287695808,2.266792325,2.24863795,2.33298845
United States,3.713862253,3.505068784,3.488763768,3.278246175,3.25444531,3.486010422,3.608908025,3.479954639,3.210598883,3.095158874,3.205383573
NATO Europe and Canada,1.398854284,1.398432807,1.411503505,1.452489495,1.480959004,1.512400005,1.691038618,1.628711798,1.629439501,1.743400561,1.989713087
NATO Total,2.562248439,2.462541912,2.46056459,2.372244577,2.378969109,2.515856863,2.686749529,2.587944706,2.444020463,2.442299715,2.614896246
